age_band,min_age,max_age,awl,hsg_max_a_dependent_base,hsg_max_a_dependent_cash,hsg_max_a_non_dependent_cash,hsg_max_b_dependent_base,hsg_max_b_dependent_cash,hsg_max_b_non_dependent_cash,vhp_a_dependent_cash,vhp_a_non_dependent_cash,vhp_b_dependent_cash,vhp_b_non_dependent_cash
1-20,1,20,500,510,10,536,320,0,336,711,732,163,175
21-25,21,25,595,605,10,636,423,0,445,711,732,178,191
26-30,26,30,595,694,99,729,423,0,445,711,732,178,191
31-35,31,35,803,987,184,1037,700,0,735,788,812,197,211
36-40,36,40,803,1042,239,1095,700,0,735,788,812,197,211
41-45,41,45,1237,1853,616,1946,1022,0,1074,975,1005,280,301
46-50,46,50,1237,1956,719,2054,1022,0,1074,1100,1135,280,301
51-55,51,55,1503,2782,1279,2922,1442,0,1515,1565,1612,364,390
56-60,56,60,1503,3290,1787,3455,1490,0,1565,2016,2078,527,566
61-65,61,65,1731,4356,2625,4574,1987,256,2087,2714,2796,761,817
66-70,66,70,1926,6065,4139,6369,2924,998,3071,3702,3812,1257,1349
71-73,71,73,2543,8334,5791,8751,3853,1310,4046,4413,4546,1643,1765
74-75,74,75,2716,9227,6511,9689,4205,1489,4416,4967,5117,1670,1794
76-78,76,78,2927,11282,8355,11847,5427,2500,5699,5313,5473,1708,1834
79-80,79,80,3087,12503,9416,13129,5601,2514,5882,5739,5912,1708,1834
81-83,81,83,3203,13267,10064,13931,5782,2579,6072,6083,6267,1984,2130
84-85,84,85,3516,13705,10189,14391,6183,2667,6493,6454,6648,2158,2317
86-88,86,88,3685,13992,10307,14692,6471,2786,6795,6844,7047,2287,2455
89-90,89,90,3685,14103,10418,14809,6671,2986,7005,7258,7474,2333,2504
91-93,91,93,3726,14706,10980,15442,7042,3316,7395,7501,7728,2506,2692
94-95,94,95,3726,15294,11568,16059,7377,3651,7746,7749,7981,2681,2878
96-98,96,98,3726,16154,12428,16962,7912,4186,8308,8009,8249,2938,3154
99-100,99,100,3726,16288,12562,17103,8301,4575,8717,8276,8524,3112,3341
Above 100,101,120,3726,16288,12562,17103,8301,4575,8717,8276,8524,3112,3341
