age_band,min_age,max_age,msl,awl,hsg_max_a_base,hsg_max_a_cash,hsg_max_b_base,hsg_max_b_cash,hsg_max_b_lite_base,hsg_max_b_lite_cash,vhp_a_cash,vhp_b_cash,vhp_b_lite_cash
1-20,1,20,200,300,310,10,120,0,69.26,0,711,163,89.8
21-25,21,25,295,300,310,10,128,0,71.3,0,711,178,102.6
26-30,26,30,295,300,399,99,128,0,71.3,0,711,178,102.6
31-35,31,35,503,300,484,184,197,0,103.9,0,788,197,128.3
36-40,36,40,503,300,539,239,197,0,103.9,0,788,197,128.3
41-45,41,45,637,600,1216,616,385,0,165.02,0,975,280,189.6
46-50,46,50,637,600,1319,719,385,0,202.7,0,1100,280,189.6
51-55,51,55,903,600,1879,1279,539,0,219,0,1565,364,205.3
56-60,56,60,903,600,2387,1787,587,0,242.44,0,2016,527,282.3
61-65,61,65,1131,600,3225,2625,856,256,366.72,0,2714,761,481.3
66-70,66,70,1326,600,4739,4139,1598,998,590.84,0,3702,1257,722.3
71-73,71,73,1643,900,6295,5395,2210,1310,876.06,0,4413,1643,770.1
74-75,74,75,1816,900,6972,6072,2389,1489,1028.86,128.86,4967,1670,770.1
76-78,76,78,2027,900,8718,7818,3400,2500,1394.58,494.58,5313,1708,802.2
79-80,79,80,2187,900,9721,8821,3414,2514,1394.58,494.58,5739,1708,802.2
81-83,81,83,2303,900,10333,9433,3479,2579,1444.5,544.5,6083,1984,840.7
84-85,84,85,2616,900,10437,9537,3567,2667,1494.42,594.42,6454,2158,1026.8
86-88,86,88,2785,900,10541,9641,3686,2786,1660.46,760.46,6844,2287,1026.8
89-90,89,90,2785,900,10647,9747,3886,2986,1930.42,1030.42,7258,2333,1123
91-93,91,93,2826,900,11180,10280,4216,3316,2109.7,1209.7,7501,2506,1178
94-95,94,95,2826,900,11740,10840,4551,3651,2297.14,1397.14,7749,2681,1219.3
96-98,96,98,2826,900,12559,11659,5086,4186,2597.66,1697.66,8009,2938,1347.7
99-100,99,100,2826,900,12687,11787,5475,4575,2813.62,1913.62,8276,3112,1476
Above 100,101,120,2826,900,12687,11787,5475,4575,2813.62,1913.62,8276,3112,1476
